"Award_Num","Abstract","Discipline","End_Year","Funding_Agency","PI","Place","Program","Project_Title","Region","Season","Start_Year"
"0000173","The Principal Investigator will conduct research in the Arctic atmospheric boundary layer to better understand the processes leading to ozone depletion. The project will be part of the Polar Sunrise Experiment-2000 (PSE2000) with three main objectives: To investigate and quantify the ozone depletion due to surface (snowpack) bases processes. To define the vertical transport of ozone from the stable marine boundary layer to the underlying snowpack. To specify the ocean to atmosphere exchange of lieat, water vapor and after ozone depletion episodes. During February - May 2000, a series of surface- and airborne-based measurements will be undertaken at two experimental sites, at Alert and Williams Island. The Principal Investigator will attempt for the first time to determine in situ ozone fluxes to the snowpack using the eddy covariance and will test the hypothesis that accumulation of ozone reactive materials on and or inside the snowpack contribute to boundary layer ozone destruction during the Polar sunrise. He surmises that processes occurring within the snowpack may explain important missing details in ozone depletion mechanisms. To verify if the snowpack constitutes a sink for ozone, detailed measurements will be made in the interstitial air within the snowpack. Gas-phase measurements at five depths, from the surface to 100-150 cm, will be achieved through air sampling with chamber systems, coupled with highly sensitive ozone analyzers. During spring Arctic ozone depletion episodes, the atmospheric column extending from the surface to about 300 meters (m) can be devoid of ozone. Above the 300-meter level, the height of the capping inversion of the mixed layer, ozone mixing ratios can exceed 40 ppbv. This ozone reservoir can serve as a source of surface ozone via downward transport by turbulent eddies. Because the Arctic troposphere is dark for several months, the atmospheric boundary layer is stable and stratified, thus preventing atmospheric vertical mixing. Therefore, photochemically reactive chemical species may accumulate in the boundary layer and become available to partake in reactions when sunlight resumes. He will investigate the role of ocean to atmosphere exchange of energy and momentum on the chemical composition of the boundary layer by defining the individual components of the energy balance for the camp surface. The data set will be used in the development and validation of numerical modeling systems to understand the atmosphere-ocean energy exchange capacity at the ice-camp site, thereby characterizing the availability of activation energy for local chemical reactions.","Oceanography","2001","","","Alert, Williams Island","","SGER: Surface Deposition and Vertical Transport of Ozone During the Polar Sunrise","Canada ","2000","1999"
"0000196","The Principal Investigator and his graduate students have developed valuable hardware and software tools for the study of the mid-latitude ionosphere. The hardware tools include a cooled CCD Imager capable of making sequential exposures of five different filtered emissions. The system can be remotely operated via the Internet and has already provided new insights into the structure of the region, during both quiet and active times, through analysis and interpretation of the airglow data. Additional software tools facilitate the analysis of GPS data, including validation of methods for determining the absolute TEC from the data stream, as well as data processing and display software, which make comparisons with other data sets much more straightforward. The purpose of this renewal proposal is to build on this developed expertise by planning and executing simultaneous observation campaigns with the Arecibo Radar and with other groups interested in the Caribbean sector for scientific studies, as well as validation of TEC methods, spacecraft instrument calibration and tomographic work. In addition to the imager and GPS aspects, the PI will assure that Arecibo Radar time is available for the campaigns by writing observing proposals on a timely basis and coordinating the various groups. In addition, he will take a leadership role in interpreting and publishing the data sets on a timely basis. During the tenure of this proposal, he will also explore opportunities for short campaigns in other locations for the purpose of solving specific problems or extending the spatial coverage of a particular phenomenon.","Space Physics","2005","","","Kangerlussuaq, Raven","","Wind and Wave Patterns in the Earth's Ionosphere ","Greenland ","2004, 2005","2000"
"0000315","The investigators will continue operation of a neutron monitor network comprising nine stationary monitors and two transportable ship-borne monitors. A neutron monitor is an instrument that measures the number of high energy particles impacting Earth from space. These particles, mostly protons and helium nuclei, are called cosmic rays. Data from the neutron monitors will be employed together with data from spacecraft and other ground-based instruments in a broad range of investigations of cosmic rays in relation to the sun and solar wind. Specific science objectives include the study of acceleration and transport of solar energetic particles, the scattering of cosmic rays in the solar wind, and the use of cosmic ray observations for space weather forecasting. The project includes education and public outreach through the development of a web site and scientific collaboration with the U. S. Air Force Academy and Russian scientists. The distribution of stations around the globe, particularly in the polar regions, are essential for determining the distribution of cosmic rays in space. The use of this network to study cosmic rays inspires the name of the project: Spaceship Earth.","Space Physics","2005","","","Pituffik Space Base","","Spaceship Earth: Probing the Solar Wind with Cosmic Rays","Greenland ","2001, 2003","2000"
"0000389","The Gakkel Ridge occupies a unique and important place within the global system of ocean ridges because it is: 1) the slowest spreading ridge; 2) the deepest ocean ridge; 3) the sole region where polar mantle compositions can be sampled directly; and 4) in a unique tectonic setting surrounded by continental lithosphere in close proximity. The Ridge's strike is perpendicular to spreading direction which results in very few transform offsets and it appears to be the ridge above the coldest upper mantle. This combination of characteristics permits a large number of hypotheses of ocean crust formation to be tested.    The Gakkel Ridge has been unsampled petrologically, largely due the permanent ice cover of the Arctic Ocean that makes geophysical data difficult to obtain. This perennial ice cover over the Ridge will require two icebreakers working in tandem to mount a safe and effective expedition. Recent developments make a sampling expedition possible. The U.S. SCICEX bathymetry, sidescan and gravity data collected from a submarine provide the necessary background data to plan a good sampling program. German colleagues, in response to InterRIDGE planning efforts, have in place ice breaker, Polarstem, for a two-ship, 50-day international expedition dedicated to study of the Gakkel Ridge. The United States will also provide an icebreaker, the new USCG Healy. The Principal Investigators will sample basalts, peridotites, and related rocks along 600 km of the Gakkel Ridge. Detailed geochemical study of these rocks along with geophysical estimates of crustal and lithospheric thickness can be combined to generate quantitative models of oceanic crust formation under ultra-slow spreading conditions. Concurrently, with the basement sampling, a reconnaissance will be carried out as a hydrothermal survey using MAPR devices attached to the dredging (or coring) wire and rosettes. The survey would be designed to lay the groundwork for future hydrothermal and related biological studies along Gakkel Ridge. Finally, sampling along Gakkel Ridge and interpretation of the data will provide a basic understanding of the makeup of Arctic Ocean crust, and its influence on Arctic Ocean chemistry.","Geological Sciences","2003","","Langmuir, Charles","Gakkel Ridge","","Collaborative Research: Mantle Melting and Crustal Genesis at the Slowest Spreading Rate: A Petrological Investigation of Gakkel Ridge, Arctic Ocean","Arctic Ocean and Seas ","2001","2000"
"0000994","Research conducted during the summer of 1999 revealed significant drops in ozone levels in air trapped in Greenland ice.  To better understand these drops, and how they relate to chemical processes between snow and air, the researchers plan to conduct a balloon-borne ozone and carbon monoxide sampling program within and above the planetary boundary layer (the atmospheric layer that extends to about 500 meters above ground) at Summit Station.  These observations will add to the 1999 findings and aid in understanding ozone destruction by establishing a link between chemical processes in the snowpack and ozone levels in ambient air from the earth's surface to about 2000 meters above ground.","Meteorology and Climate","2000","","","Kangerlussuaq, Summit","","Vertical Profiling of Ozone within the Boundary Layer at Summit, Greenland","Greenland ","2000","2000"
"0001885","This is a collaborative project by Principal Investigators from Ohio State University and University of Illinois at Chicago to clarify the heavily debated northern extent of the Kara Sea Ice Sheet during the Last Glacial Maximum (LGM) around 20 thousand years ago. Uncertainty in the configuration of this major ice sheet and the adjoining Barents Sea Ice Sheet has made it difficult to create reliable boundary conditions for global climate model simulations. A successful solution to this problem must involve focussed geomorphic, stratigraphic, and geochronologic studies of Severnaya Zemlya.    The Principal Investigators will evaluate the limits and timing of glacial and deglacial events and associated changes in relative sea level on Severnaya Zemlya since the LGM. A collaborative American-Russian-Swedish field program will focus on two key areas where earlier researchers found rich deposits of glacial, marine, and terrestrial deposits associated with the last glacial/interglacial cycle. The researchers will: 1) determine the magnitude and timing of the LGM glacial-isostatic response; 2) define the age and timing of LGM glaciation and deglaciation; and 3) assess the flow direction of the LGM. They will determine if the LGM was a 10-20 km-scale expansion of existing ice caps, at least one km-thick ice sheet, or an intermediate complex.    The Principal Investigators will collaborate with the glaciological and Earth-rheological modeling communities to improve their understanding of climatic, sea-level and intrinsic glaciologic controls on LGM glaciation in the High Arctic. To help reconstruct ice-sheet thickness and thinning rates, they will also provide their glacioisostatic data to the Earth-rheological modeling community.","Geological Sciences","2003","","Forman, Steven","October Revolution Island","","Collaborative Research: Reconstructing the Past 20,000 Years of Glacial and Sea Level History for Severnaya Zemlya Russia, 80 N.","Russia ","2002, 2003","2000"
"0002230","This was a collaborative proposal with Iowa State, Yale University, and Svartisen Glaciological Observatory in Norway. Basal motion greatly affects the speeds of ice masses, but controls on basal motion are poorly understood. Sediment, which is entrained in basal ice, causes local friction between basal ice and rock, but the magnitude of this friction or the factors that control it are poorly known. In contrast, till may separate ice from the bed and lubricate it, but the mechanism of flow in this situation is uncertain.   	  Two types of experiments have been conducted at Engabreen, a hard-bedded, outlet glacier in Norway, where the Svartisen Glaciological Observatory provides access to the bed beneath 210 m of temperate ice. These experiments have been extensions of the principal investigators' earlier subglacial work on hard-bedded sliding at Engabreen, borehole work on soft-bedded glaciers elsewhere, and laboratory studies of till deformation.  	  The first experiment tested contrasting models of debris-bed friction. A panel that contained a smooth rock tablet was installed flush with the bed surface. Friction between the tablet and sliding dirty ice was studied by measuring the shear stress on the tablet, sliding speed, basal melt rate, ice pressure on the bed, and local basal water pressure. The basal melt rate was independently varied over a wide range. These experiments provided a complete characterization of the factors that control local debris/bed friction and rates of glacial abrasion.  	  In the second experiment, a prism of till was placed at the ice/bed interface. To evaluate the factors that control the distribution of motion in the till, instruments recorded the till shear strain, dilation and contraction, and pore-water pressure, while the basal water pressure was varied independently. The final position and orientation of sensors and strain indicators was measured by dissecting the till prism at the ends of tests. Also, clast fabric development and mixing between tills of contrasting lithology was studied to develop sedimentological criteria for evaluating bed shear strain.   Results of these experiments, with complementary modeling, demonstrated the following:  1)Shear traction associated with debris-bed friction was 60-500 kPa, more than an order of magnitude larger than expected (Iverson et al, 2003 Science, 301, 81-83; Cohen et al., JGR-Earth Surface, submitted).  2)A new theoretical model of debris-bed friction can account for the high shear tractions (Cohen et al., JGR-Earth Surface, submitted).  3)Deformation of the till prism occurred only at intermediate pore-water pressures; high pore-water pressures resulted in sliding of ice over the till surface (Iverson et al, 2003 Science, 301, 81-83).  4)Distributed till strain can occur in the absence of intrinsically viscous till deformation (Iverson et al., JGR-Earth Surface, in preparation).","Geological Sciences","2002","","","Engabreen Glacier","","Collaborative Research on the Basal Motion of Glaciers: Field Studies of Debris/Bed Friction and Bed Deformation, Engabreen, Norway","Norway ","2001, 2002, 2003","2000"
"0002361","This is a collaborative proposal with Principal Investigators from the Universities of Colorado, Alaska, and the Desert Research Institute. Large portions of Siberia, Alaska, and northwestern Canada formed an unglaciated landmass during the late Pleistocene known as Beringia. Previous Beringian paleoclimatic studies have yielded only qualitative temperature estimates. There is a need to develop quantitative estimates to gain a better understanding of the magnitude and regional expression of climate change. The Principal Investigators will attempt to quantify the paleotemperatures through the analysis of fossil insects, pollen, and plant macrofossils using thermoluminescence (TL) and optical (IRSL) dating. They will use the Mutual Climatic Range (MCR) method of fossil beetle analysis and paleobotanical studies to produce estimates of mean temperatures of the warmest (TMAX) and coldest months (TMIN), as well as estimates of mean annual temperature (MAT). They will reconstruct past environments at the five study sites in central and northern Alaska with sediments ranging in age from the end of isotope stage 6 to the Holocene. The Principal Investigators will focus on samples from just before and during the last interglacial interval. They will date sediments from 140-50 thousand years by TL and its newer variant, photon-stimulated-luminescence (IRSL).    Two research themes will be addressed. The first theme is to study the nature of the climatic transition of stage 6 to stage 5 and to determine where the Old Crow tephra fits in this sequence. The second research theme is to determine the nature of climatic amelioration in Beringia during the last interglacial period.","Geological Sciences","2002","","","Koyukuk, Palisades of the Yukon, Upper Noatak River","","Collaborative Research: The Nature of Late Pleistocene Climate Ameliorations in Eastern Beringia","Alaska ","2000, 2001","2000"
"0002362","This is a collaborative proposal with Principal Investigators from the Universities of Colorado, Alaska, and the Desert Research Institute. Large portions of Siberia, Alaska, and northwestern Canada formed an unglaciated landmass during the late Pleistocene known as Beringia. Previous Beringian paleoclimatic studies have yielded only qualitative temperature estimates. There is a need to develop quantitative estimates to gain a better understanding of the magnitude and regional expression of climate change. The Principal Investigators will attempt to quantify the paleotemperatures through the analysis of fossil insects, pollen, and plant macrofossils using thermoluminescence (TL) and optical (IRSL) dating. They will use the Mutual Climatic Range (MCR) method of fossil beetle analysis and paleobotanical studies to produce estimates of mean temperatures of the warmest (TMAX) and coldest months (TMIN), as well as estimates of mean annual temperature (MAT). They will reconstruct past environments at the five study sites in central and northern Alaska with sediments ranging in age from the end of isotope stage 6 to the Holocene. The Principal Investigators will focus on samples from just before and during the last interglacial interval. They will date sediments from 140-50 thousand years by TL and its newer variant, photon-stimulated-luminescence (IRSL).    Two research themes will be addressed. The first theme is to study the nature of the climatic transition of stage 6 to stage 5 and to determine where the Old Crow tephra fits in this sequence. The second research theme is to determine the nature of climatic amelioration in Beringia during the last interglacial period.","Geological Sciences","2002","","Edwards, Mary","Koyukuk, Palisades of the Yukon, Upper Noatak River","","Collaborative Research: The Nature of Late Pleistocene Climate Ameliorations in Eastern Beringia","Alaska ","2000, 2001","2000"
"0002369","The project will modify an existing catchment-based Land Surface Model to include the effects of snow and freeze-thaw dynamics on Arctic tundra hydrology. The development of this model will fill a gap in currently available models that do not incorporate the combined effects of snow physics, permafrost dynamics and topography on tundra hydrology. The current deficiency has severely limited efforts aimed at understanding and predicting the effects of climate change on arctic ecosystems. By addressing this problem this project will have a major impact on our understanding of the responsiveness of the Arctic to climate change.","Geological Sciences","2003","","","Toolik","","Collaborative Research: Modeling Hydrologic Processes in the Arctic: A Watershed Approach for Regional and Global Climate Models","Alaska ","2002","2000"
